[2024-12-03T12:30:10.992+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-03T12:30:11.016+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: mongo_to_kafka.test manual__2024-12-03T12:30:02.392068+00:00 [queued]>
[2024-12-03T12:30:11.032+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: mongo_to_kafka.test manual__2024-12-03T12:30:02.392068+00:00 [queued]>
[2024-12-03T12:30:11.033+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-03T12:30:11.057+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): test> on 2024-12-03 12:30:02.392068+00:00
[2024-12-03T12:30:11.064+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=764) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-03T12:30:11.066+0000] {standard_task_runner.py:72} INFO - Started process 765 to run task
[2024-12-03T12:30:11.067+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'mongo_to_kafka', 'test', 'manual__2024-12-03T12:30:02.392068+00:00', '--job-id', '13', '--raw', '--subdir', 'DAGS_FOLDER/dag1_MongoKafka.py', '--cfg-path', '/tmp/tmpfk_mlaxn']
[2024-12-03T12:30:11.071+0000] {standard_task_runner.py:105} INFO - Job 13: Subtask test
[2024-12-03T12:30:11.146+0000] {task_command.py:467} INFO - Running <TaskInstance: mongo_to_kafka.test manual__2024-12-03T12:30:02.392068+00:00 [running]> on host 31ac0cc6adcb
[2024-12-03T12:30:11.278+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='mongo_to_kafka' AIRFLOW_CTX_TASK_ID='test' AIRFLOW_CTX_EXECUTION_DATE='2024-12-03T12:30:02.392068+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-03T12:30:02.392068+00:00'
[2024-12-03T12:30:11.280+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-03T12:30:12.310+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T12:30:13.043+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T12:30:13.698+0000] {logging_mixin.py:190} INFO - msg= b'\x00\x00\x00\x00\x0606707fa42840c437097f7b593\x06\x02\xd8\x97\x03\x06SIN\x06ICN\x08\x08\x16Zoe Barnaby\x141993-09-24&Ru\xc5\xbeica Ivan\xc4\x8devi\xc4\x87\x141995-09-02\x14Timm Raabe\x141976-11-19\x1cGreta Oorschot\x141993-08-19\x0042024-10-10T16:01:06.102000'
[2024-12-03T12:30:13.700+0000] {logging_mixin.py:190} INFO - key= b'airlines:0:1730390414084'
[2024-12-03T12:30:13.764+0000] {logging_mixin.py:190} INFO - {'_id': '6707fa42840c437097f7b593', 'travel': 3, 'payer': 1, 'amount': 26092, 'code_departure': 'SIN', 'code_arrival': 'ICN', 'number_of_passengers': 4, 'passengers': [{'name': 'Zoe Barnaby', 'birth_date': '1993-09-24'}, {'name': 'Ružica Ivančević', 'birth_date': '1995-09-02'}, {'name': 'Timm Raabe', 'birth_date': '1976-11-19'}, {'name': 'Greta Oorschot', 'birth_date': '1993-08-19'}], 'created': '2024-10-10T16:01:06.102000'}
[2024-12-03T12:30:14.766+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T12:30:15.771+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T12:30:16.773+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T12:30:17.775+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T12:30:18.827+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T12:30:19.828+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T12:30:20.829+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T12:30:21.831+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T12:30:22.834+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T12:30:23.835+0000] {logging_mixin.py:190} INFO - нет сообщений
[2024-12-03T12:30:24.838+0000] {logging_mixin.py:190} INFO - нет сообщений
